ｘ,?action=edit,,?preview_id=,Platform,ID,案件名,単価,合計,2019/04/01,2019/04/02,2019/04/03,2019/04/04,2019/04/05,2019/04/06,2019/04/07,2019/04/08,2019/04/09,2019/04/10,2019/04/11,2019/04/12,2019/04/13,2019/04/14,2019/04/15,2019/04/16,2019/04/17,2019/04/18,2019/04/19,2019/04/20,2019/04/21,2019/04/22,2019/04/23,2019/04/24,2019/04/25,2019/04/26,2019/04/27,2019/04/28,2019/04/29,2019/04/30,
売上,GenieeDSP,吉田,ジュエルアップ／A,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIQQ&44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OITQ,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥270,000","¥18,000","¥36,000","¥18,000","¥72,000","¥36,000","¥54,000",¥0,"¥36,000",¥0,,,,,,,,,,,,,,,,,,,,,,
売上,imobile,吉田,ジュエルアップ／B,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIQg,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,pista,吉田,ジュエルアップ／C,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIQw,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥270,000","¥18,000","¥36,000","¥36,000","¥18,000","¥18,000","¥18,000","¥36,000","¥36,000","¥54,000",,,,,,,,,,,,,,,,,,,,,,
売上,uzou,吉田,ジュエルアップ／D,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIRA,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥342,000","¥90,000",¥0,"¥36,000","¥36,000","¥36,000","¥36,000","¥54,000","¥18,000","¥36,000",,,,,,,,,,,,,,,,,,,,,,
売上,zucks,吉田,ジュエルアップ／E,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIRQ,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥648,000","¥36,000","¥90,000","¥72,000","¥36,000","¥90,000","¥162,000","¥90,000","¥36,000","¥36,000",,,,,,,,,,,,,,,,,,,,,,
売上,Lucra,吉田,ジュエルアップ／G,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OIRw,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥36,000","¥18,000",¥0,"¥18,000",¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,gunosy,吉田,ジュエルアップ／H,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OISA,"9/26から単価14,000円→12/7から単価16,000円→1/4から単価16,500円→1/28から17,000円",18000,"¥414,000","¥72,000","¥54,000","¥72,000","¥18,000","¥90,000","¥36,000","¥36,000","¥36,000",¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,吉田,こうじ酵素,result_plus,6016_9172,"10,300円→11,000円（9/7～）→13,000（10/17～）","¥13,000","¥13,000",,"¥13,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,line,吉田,こうじ酵素,result_plus,4081_11471,"10,300円→11,000円（9/7～）→13,000（10/17～）","¥13,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,吉田,はははのは,ja_net result_plus,720105 13655_25663,"AW→PA単価7,000円（11/30まで）","¥7,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,吉田,ビューティーオープナー／2,,,,"¥9,000","¥90,000","¥18,000",,"¥54,000",,"¥9,000",,"¥9,000",,,,,,,,,,,,,,,,,,,,,,,,
売上,line,吉田,ビューティーオープナー／1,,,,"¥9,000","¥9,000",,,"¥9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,facebook,吉田,ビューティーオープナー／3,,,,"¥9,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,smartnews,吉田,ビューティーオープナー,,,,"¥9,000","¥27,000","¥9,000","¥9,000",,"¥9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,line,吉田,キレイモ,result_plus,,,"¥29,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,gunosy,吉田,キレイモ,result_plus,4082_11700,,"¥29,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,smartnews,吉田,キレイモ,result_plus,,,"¥29,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,gunosy,吉田,シュガリミット,,,,"¥13,000","¥39,000","¥13,000",,"¥26,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,LAP,山田,バランローズクリームシャンプー,zucks_affiliate,fs_1_c921dead1d3115ca9b7a0987b4a94984&fs_2_c921dead1d3115ca9b7a0987b4a94984,①RT&②AT,"¥6,500","¥52,000","¥13,000","¥13,000","¥19,500","¥6,500",¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,facebook,山田,LAKUBI,result_plus,4082_11291,②,"¥12,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,facebook,山田,マナラホットクレンジング,zucks_affiliate,fs_5_db020f591306c7f9aae438864c75ac94,"2/12 19:30~単価8,000円、2/14 11:00~単価8,500円(2件：8,000）","¥8,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,LAP,山田,マナラホットクレンジング,zucks_affiliate,fs_6_db020f591306c7f9aae438864c75ac94&fs_2_db020f591306c7f9aae438864c75ac94&fs_7_db020f591306c7f9aae438864c75ac94,"2/12 19:30~単価8,000円、2/14 11:00~単価8,500円(2件：8,000）","¥8,500","¥348,500","¥51,000","¥25,500",¥0,"¥68,000","¥25,500","¥42,500","¥25,500","¥59,500","¥51,000",,,,,,,,,,,,,,,,,,,,,,
売上,docomo,山田,マナラホットクレンジング,zucks_affiliate,fs_3_db020f591306c7f9aae438864c75ac94,"2/12 19:30~単価8,000円、2/14 11:00~単価8,500円(2件：8,000）","¥8,500","¥68,000",,"¥8,500","¥8,500","¥17,000",¥0,"¥8,500",¥0,"¥8,500","¥17,000",,,,,,,,,,,,,,,,,,,,,,
売上,docomo,山田,コンブチャ生サプリ,access_trade,1085437,コンブチャ生サプリ,"¥11,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,Lucra,山田,DUOホワイト,result_plus,4278_10577,④,"¥8,300","¥91,300","¥41,500","¥33,200","¥8,300","¥8,300",¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,山田,DUOホワイト,result_plus,4653_10577,⑧,"¥8,300","¥8,300","¥8,300",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,LAP,山田,DUOクレンジングバーム,result_plus,4081_10442&4082_10442,①+②/RT+AT,"¥8,300","¥24,900",,¥0,"¥16,600","¥8,300",¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,LAP,山田,肌ナチュール,zucks_affiliate,fs_4_e4aa4188a6992950bb79fe7ca15e19ec&fs_6_e4aa4188a6992950bb79fe7ca15e19ec,④+⑥,"¥10,000","¥10,000",,"¥10,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,三宅,ブライトエイジ,result_plus,5932_6831&5937_6831,前：親子　後ろ：ロキソニン,"¥6,500","¥6,500",,¥0,"¥6,500",¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,三宅,ブライトエイジ,result_plus,5941_6831,,"¥6,500","¥19,500","¥6,500","¥6,500",¥0,¥0,¥0,¥0,"¥6,500",¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,evory,三宅,ジュエルアップ,arclink,44K444Ol44Ko44Or44Ki44OD44OX44OV44Or44Ki44Km44OISg,,"¥18,000","¥72,000",,¥0,"¥18,000","¥18,000",¥0,¥0,"¥36,000",¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,三宅,スルスルこうそ,result_plus,4082_9743&4083_9743,"10/5~ ¥11,000","¥11,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,三宅,シミウス,result_plus,4083_10234&4278_10234,前：メール　後：ADNW,8500,"¥221,000","¥25,500","¥8,500","¥17,000","¥34,000","¥51,000","¥17,000","¥17,000","¥34,000","¥17,000",,,,,,,,,,,,,,,,,,,,,,
売上,line,三宅,シミウス,scadnet,other_1&lap_4     ,,8500,"¥569,500","¥51,000","¥102,000","¥34,000","¥85,000","¥25,500","¥76,500","¥127,500","¥59,500","¥8,500",,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,三宅,シミウス,result_plus,4081_10235&4081_10234,フルアウト様　①シミウス_（プレゼント付き_シズル）×フルアウト,8500,¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,三宅,わらびはだ,result_plus,4082_10561,,11000,¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,三宅,チェルラーブリリオ,result_plus,13664_25021&13658_27073&13658_27076,前：メール　後ろ：AT,9000,"¥99,000",,"¥18,000",¥0,"¥18,000","¥9,000","¥36,000","¥18,000",¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,line,三宅,チェルラーブリリオ,result_plus,13661_25021&4081_11452&13652_27076,,9000,"¥666,000","¥45,000","¥54,000","¥45,000","¥108,000","¥54,000","¥63,000","¥135,000","¥108,000","¥54,000",,,,,,,,,,,,,,,,,,,,,,
売上,docomo,三宅,肥後すっぽんもろみ酢,result_plus zucks_affiliate,4081_8931 full_out_5_47baf27dc85a1784ec11eadb6387e636,肥後すっぽんもろみ酢,5000,"¥20,000",,"¥5,000","¥15,000",¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,docomo,三宅,トリプルフォース,result_plus,5932_11520,,12000,¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,関連記事,三宅,エルシーノ,zucks_affiliate,full_out_5_ff0bcde059c0df1e1d6d06141c6096f4,エルシーノ,"¥23,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,google,三宅,マナラホットクレンジングゲル,zucks_affiliate,fs_1_db020f591306c7f9aae438864c75ac94,① 比較↓,"¥8,500","¥110,500",,¥0,"¥8,500","¥17,000","¥25,500","¥17,000","¥25,500","¥8,500","¥8,500",,,,,,,,,,,,,,,,,,,,,,
売上,google,三宅,DUOホワイト,result_plus,4654_10577,⑨,"¥8,300","¥24,900","¥8,300",¥0,¥0,¥0,"¥8,300","¥8,300",¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,google,三宅,ストレピア,zucks_affiliate,fs_1_dc23a77de6b21565e92d9a990a1065ec,①,"¥8,500","¥17,000",,¥0,"¥8,500",¥0,"¥8,500",¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,google,三宅,メルライン,result_plus,13652_27889,①,"¥7,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
